psi,regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
0.08000000,float,I,0.2694145757,7.165711388,50.34150556,1.10152359,0.06657088712,0.0347945414,41.02047946
0.08000000,float,BSTAR,0.01095534756,0.3588596167,1.83132904,4.116785102,0.9404550185,1.053438418,91.68817746
0.08000000,peg,piDC,0.004887118582,0.3678314521,29.577148,28.63433031,3.534344223,5.097230511,32.78422839
0.08000000,peg,PIC,0.4813877148,2.84927808,10.36322073,49.22630609,2.367358449,3.269992616,31.44245632
0.08000000,peg,y_gap,0.09609233566,0.8879155819,6.248138545,18.76638821,3.698840647,4.486176969,65.81644771
0.08000000,peg,y_gap1,1.134751489,6.504670751,25.44404193,13.47012444,3.138595995,3.633374464,46.67444092
0.08000000,peg,y_gap2,0.4794063036,7.723258967,5.508765572,14.87995281,3.327124288,3.992749633,64.08874243
0.08000000,peg,y_gap3,0.02801987455,0.7282816812,10.49342327,18.94014404,3.550606224,4.327275157,61.93224976
0.08000000,peg,PI1,13.28351948,0.02485020787,1.523091239,12.54743589,1.748656184,2.020890719,68.85155628
0.08000000,peg,PI2,0.3039887544,34.61199319,0.9932363669,24.41324229,2.300179815,3.048797521,34.32856207
0.08000000,peg,PI3,0.01857165955,0.2842267381,35.30390156,26.68378974,3.413750187,4.978463332,29.31729678
0.08000000,peg,I,0.001964424573,0.06969758249,0.3775747357,0.7206681778,0.1653732952,0.1853561878,98.4793656
0.08000000,peg,BSTAR,0.009798422274,0.3476470179,1.883318276,3.594646097,0.8248712632,0.9245446344,92.41517429
0.08000000,managed,piDC,0.2853390367,4.746491857,81.56520478,8.7358238,0.2720107423,0.4125609799,3.982568809
0.08000000,managed,PIC,1.686870139,10.99517853,27.81432193,11.88028042,0.9340194884,1.081186258,45.60814324
0.08000000,managed,y_gap,0.8553187093,7.867850095,24.78591607,39.93454155,8.967093181,11.42676833,6.162512064
0.08000000,managed,y_gap1,2.429095037,11.92079634,80.21954963,2.022219508,0.9626851589,1.226757647,1.218896674
0.08000000,managed,y_gap2,2.098101051,36.09620285,51.14227402,4.591252676,2.048838937,2.795454896,1.22787557
0.08000000,managed,y_gap3,0.02692336378,9.134182953,47.66262735,27.89159635,4.873534021,6.055238846,4.355897113
0.08000000,managed,PI1,90.79986757,0.7142109202,2.254266759,3.89559581,0.09913322092,0.1151654904,2.121760226
0.08000000,managed,PI2,1.446359612,87.79880692,3.516579616,5.591758482,0.01948532601,0.02854166961,1.598468377
0.08000000,managed,PI3,0.1567012103,1.430991633,86.303358,7.590507567,0.2800733606,0.4253108569,3.813057371
0.08000000,managed,I,0.05018215559,2.362001987,16.0991279,2.260894785,0.2347787352,0.1859491093,78.80706533
0.08000000,managed,BSTAR,0.01075352129,0.357440887,1.85025222,4.011367329,0.9179495691,1.027711771,91.8245247
